Sex,Age,address,salary,Transport,target
M,14,mikkeli,12,car,1
F,6,joensuu,15,train,1
M,8,helsinki,16,bus,0
F,20,kumasi,18,car,1
M,16,accra,52,bike,1
F,16,mikkeli,10,train,2
F,16,accra,19,bus,1
M,16,mikkeli,40,car,1
M,11,mikkeli,50,car,2
F,10,joensuu,9,bike,0
F,14,helsinki,94,train,1
M,8,mikkeli,32,bus,2
M,10,mikkeli,96,car,0
F,7,joensuu,84,bike,0
M,8,helsinki,3,train,1
F,6,kumasi,46,bus,2
M,19,joensuu,100,car,1
M,11,helsinki,0,bike,2
F,16,kumasi,16,train,2
F,19,accra,22,bus,2
M,17,mikkeli,8,car,1
M,14,accra,91,car,2
F,8,accra,86,bike,1
M,17,mikkeli,62,train,0
M,19,mikkeli,45,bus,1
F,6,joensuu,74,car,0
M,15,helsinki,60,bike,2
F,15,kumasi,3,train,0
M,20,accra,44,bus,1
